sample,elapsed_ms,target,state_before,control_value,state_after,rtt_ms,model_output,infer_us,mode
1,268,300,300,0,170,255,,,baseline
2,1009,300,170,260,183,741,,,baseline
3,1156,300,183,234,181,147,,,baseline
4,1283,300,181,238,182,127,,,baseline
5,1412,300,182,236,182,129,,,baseline
6,1548,300,182,236,182,136,,,baseline
7,1676,300,182,236,182,128,,,baseline
8,1807,300,182,236,182,131,,,baseline
9,1934,300,182,236,182,127,,,baseline
10,2075,300,182,236,182,141,,,baseline
11,2207,300,182,236,182,132,,,baseline
12,2343,300,182,236,332,136,,,baseline
13,2475,300,332,0,338,132,,,baseline
14,2605,300,338,0,342,130,,,baseline
15,2734,300,342,0,344,129,,,baseline
16,2869,300,344,0,345,135,,,baseline
17,2993,300,345,0,346,124,,,baseline
18,3245,300,346,0,346,252,,,baseline
19,3360,300,346,0,346,115,,,baseline
20,3486,300,346,0,346,126,,,baseline
21,3614,300,346,0,346,128,,,baseline
22,3865,300,346,0,346,251,,,baseline
23,3966,300,346,0,346,101,,,baseline
24,4039,300,346,0,346,73,,,baseline
25,4164,300,346,0,346,125,,,baseline
26,4411,300,346,0,346,247,,,baseline
27,4535,300,346,0,346,124,,,baseline
28,4657,300,346,0,346,122,,,baseline
29,4784,300,346,0,346,127,,,baseline
30,5017,300,346,0,346,233,,,baseline
31,5140,800,346,908,663,123,,,baseline
32,5273,800,663,274,610,133,,,baseline
33,5404,800,610,380,621,131,,,baseline
34,5644,800,621,358,618,240,,,baseline
35,5761,800,618,364,620,117,,,baseline
36,5895,800,620,360,618,134,,,baseline
37,6024,800,618,364,620,129,,,baseline
38,6348,800,620,360,618,324,,,baseline
39,6474,800,618,364,620,126,,,baseline
40,6604,800,620,360,618,130,,,baseline
41,6848,800,618,364,620,244,,,baseline
42,6962,800,620,360,618,114,,,baseline
43,7092,800,618,364,620,130,,,baseline
44,7227,800,620,360,618,135,,,baseline
45,7537,800,618,364,620,310,,,baseline
46,7664,800,620,360,618,127,,,baseline
47,7795,800,618,364,620,131,,,baseline
48,8108,800,620,360,618,313,,,baseline
49,8234,800,618,364,620,126,,,baseline
50,8365,800,620,360,618,131,,,baseline
51,8677,800,618,364,620,312,,,baseline
52,8805,800,620,360,618,128,,,baseline
53,8924,800,618,364,620,119,,,baseline
54,9248,800,620,360,618,324,,,baseline
55,9395,800,618,364,620,147,,,baseline
56,9526,800,620,360,618,131,,,baseline
57,9847,800,618,364,620,321,,,baseline
58,9974,800,620,360,618,127,,,baseline
59,10105,800,618,364,620,131,,,baseline
60,10344,800,620,360,618,239,,,baseline
61,10457,800,618,364,620,113,,,baseline
62,10594,800,620,360,618,137,,,baseline
63,10723,800,618,364,620,129,,,baseline
