sample,elapsed_ms,target,state_before,control_value,state_after,rtt_ms,model_output,infer_us,mode
1,975,300,300,24,179,867,24.0,10391,ai
2,1139,300,179,236,180,164,236.0,8214,ai
3,1251,300,180,361,225,112,361.0,6972,ai
4,1384,300,225,381,258,133,381.0,6579,ai
5,1515,300,258,391,282,131,391.0,7434,ai
6,1644,300,282,378,291,129,378.0,7758,ai
7,1774,300,291,377,296,130,377.0,6814,ai
8,1901,300,296,379,300,127,379.0,7512,ai
9,2032,300,300,373,300,131,373.0,7540,ai
10,2167,300,300,374,300,135,374.0,7630,ai
11,2295,300,300,373,450,128,373.0,6894,ai
12,2432,300,450,0,404,137,0.0,7621,ai
13,2562,300,404,85,409,130,85.0,7625,ai
14,2691,300,409,0,381,129,0.0,7722,ai
15,2823,300,381,9,369,132,9.0,6777,ai
16,2953,300,369,0,359,130,0.0,8098,ai
17,3285,300,359,2,355,332,2.0,11350,ai
18,3412,300,355,2,352,127,2.0,7678,ai
19,3542,300,352,4,352,130,4.0,7081,ai
20,3865,300,352,4,352,323,4.0,11424,ai
21,3992,300,352,4,352,127,4.0,7420,ai
22,4123,300,352,4,352,131,4.0,6782,ai
23,4437,300,352,4,352,314,4.0,12107,ai
24,4564,300,352,4,352,127,4.0,8271,ai
25,4691,300,352,4,352,127,4.0,6770,ai
26,5025,300,352,4,352,334,4.0,12613,ai
27,5162,800,352,640,573,137,640.0,7716,ai
28,5293,800,573,645,694,131,645.0,6856,ai
29,5627,800,694,631,750,334,631.0,8341,ai
30,5752,800,750,677,793,125,677.0,8164,ai
31,5882,800,793,627,795,130,627.0,7434,ai
32,6215,800,795,649,804,333,649.0,11965,ai
33,6342,800,804,646,807,127,646.0,7842,ai
34,6472,800,807,647,808,130,647.0,8063,ai
35,6809,800,808,649,810,337,649.0,13335,ai
36,6931,800,810,648,811,122,648.0,8252,ai
37,7063,800,811,649,812,132,649.0,7976,ai
38,7398,800,812,648,811,335,648.0,11884,ai
39,7522,800,811,650,812,124,650.0,8916,ai
40,7655,800,812,649,811,133,649.0,7952,ai
41,7975,800,811,651,812,320,651.0,8169,ai
42,8101,800,812,650,812,126,650.0,8154,ai
43,8235,800,812,651,812,134,651.0,7598,ai
44,8558,800,812,651,812,323,651.0,8417,ai
45,8693,800,812,651,812,135,651.0,7641,ai
46,8827,800,812,652,812,134,652.0,8991,ai
47,9156,800,812,652,812,329,652.0,12476,ai
48,9282,800,812,652,812,126,652.0,8686,ai
49,9416,800,812,652,812,134,652.0,8098,ai
50,9736,800,812,653,813,320,653.0,8929,ai
51,9863,800,813,651,813,127,651.0,8386,ai
52,9995,800,813,651,813,132,651.0,8954,ai
53,10316,800,813,651,813,321,651.0,7960,ai
54,10441,800,813,651,813,125,651.0,8281,ai
55,10573,800,813,650,812,132,650.0,8668,ai
56,10897,800,812,652,812,324,652.0,12263,ai
57,11021,800,812,652,812,124,652.0,7957,ai
58,11151,800,812,652,812,130,652.0,7394,ai
59,11481,800,812,652,662,330,652.0,8108,ai
60,11611,800,662,872,668,130,872.0,8263,ai
61,11923,800,668,1000,716,312,1000.0,8666,ai
62,12075,800,716,1000,739,152,1000.0,8602,ai
63,12182,800,739,1000,750,107,1000.0,8264,ai
64,12479,800,750,1000,755,297,1000.0,8325,ai
65,12631,800,755,1000,757,152,1000.0,8287,ai
66,12742,800,757,1000,759,111,1000.0,8214,ai
67,12872,800,759,998,758,130,998.0,7389,ai
68,13205,800,758,996,758,333,996.0,12438,ai
69,13331,800,758,995,757,126,995.0,8198,ai
70,13463,800,757,995,757,132,995.0,7564,ai
71,13785,800,757,995,757,322,995.0,13156,ai
72,13912,800,757,996,757,127,996.0,7854,ai
73,14042,800,757,996,757,130,996.0,7383,ai
74,14365,800,757,997,758,323,997.0,12392,ai
75,14492,800,758,997,758,127,997.0,8408,ai
76,14628,800,758,997,758,136,997.0,7571,ai
77,14936,800,758,997,758,308,997.0,13020,ai
78,15061,800,758,997,758,125,997.0,8036,ai
79,15194,500,758,629,630,133,629.0,7412,ai
80,15516,500,630,790,624,322,790.0,12153,ai
81,15642,500,624,636,567,126,636.0,8095,ai
82,15771,500,567,701,560,129,701.0,7591,ai
83,16095,500,560,645,537,324,645.0,13354,ai
84,16242,500,537,659,530,147,659.0,8016,ai
85,16371,500,530,644,521,129,644.0,7659,ai
86,16707,500,521,641,516,336,641.0,11674,ai
87,16831,500,516,643,514,124,643.0,8346,ai
88,16962,500,514,638,511,131,638.0,8026,ai
89,17285,500,511,640,510,323,640.0,6850,ai
90,17411,500,510,641,509,126,641.0,8018,ai
91,17541,500,509,637,507,130,637.0,7904,ai
92,17865,500,507,638,507,324,638.0,9396,ai
93,17993,500,507,637,507,128,637.0,7529,ai
94,18120,500,507,635,506,127,635.0,7497,ai
95,18436,500,506,635,506,316,635.0,7958,ai
96,18570,500,506,634,505,134,634.0,7682,ai
97,18694,500,505,634,505,124,634.0,7477,ai
98,19025,500,505,634,505,331,634.0,13889,ai
99,19151,500,505,634,505,126,634.0,7850,ai
100,19454,500,505,634,505,303,634.0,7044,ai
101,19594,500,505,634,505,140,634.0,7595,ai
102,19722,500,505,634,505,128,634.0,7841,ai
103,20027,500,505,634,505,305,634.0,8805,ai
104,20163,500,505,634,505,136,634.0,8677,ai
105,20293,500,505,634,505,130,634.0,8229,ai
106,20599,500,505,634,505,306,634.0,7578,ai
107,20734,500,505,634,505,135,634.0,7629,ai
108,20868,500,505,634,505,134,634.0,8913,ai
109,21172,500,505,634,505,304,634.0,7895,ai
110,21323,500,505,634,505,151,634.0,8186,ai
111,21434,500,505,634,505,111,634.0,8612,ai
112,21729,500,505,634,505,295,634.0,7612,ai
113,21891,500,505,634,505,162,634.0,8085,ai
114,22002,500,505,634,505,111,634.0,8124,ai
115,22311,500,505,634,505,309,634.0,7635,ai
116,22442,500,505,634,505,131,634.0,7234,ai
117,22571,500,505,633,504,129,633.0,8493,ai
118,22875,500,504,634,504,304,634.0,6759,ai
119,23023,500,504,633,504,148,633.0,7708,ai
120,23142,500,504,631,503,119,631.0,7872,ai
121,23448,500,503,632,503,306,632.0,7570,ai
122,23585,500,503,632,503,137,632.0,7764,ai
123,23711,500,503,632,503,126,632.0,7824,ai
124,24019,500,503,632,503,308,632.0,6869,ai
125,24151,500,503,632,503,132,632.0,8009,ai
126,24284,500,503,632,503,133,632.0,8030,ai
127,24587,500,503,632,503,303,632.0,7674,ai
128,24723,500,503,632,503,136,632.0,7503,ai
129,24851,500,503,632,503,128,632.0,7806,ai
130,25155,500,503,632,503,304,632.0,7650,ai
131,25301,500,503,632,503,146,632.0,7370,ai
132,25413,500,503,632,503,112,632.0,9674,ai
133,25722,500,503,632,503,309,632.0,7176,ai
134,25853,500,503,632,503,131,632.0,7821,ai
135,25983,500,503,632,503,130,632.0,7385,ai
136,26290,500,503,632,503,307,632.0,7027,ai
137,26422,500,503,631,502,132,631.0,8121,ai
138,26553,500,502,627,500,131,627.0,7765,ai
139,26854,500,500,626,499,301,626.0,7575,ai
140,26998,500,499,623,498,144,623.0,7799,ai
141,27124,500,498,627,499,126,627.0,7844,ai
142,27445,500,499,625,499,321,625.0,6902,ai
143,27594,500,499,624,498,149,624.0,7860,ai
144,27704,500,498,625,498,110,625.0,8609,ai
145,28009,500,498,625,498,305,625.0,7902,ai
146,28145,500,498,625,498,136,625.0,7854,ai
147,28274,500,498,625,498,129,625.0,8080,ai
148,28580,500,498,625,498,306,625.0,8363,ai
149,28716,500,498,625,498,136,625.0,8072,ai
150,28842,500,498,625,498,126,625.0,7913,ai
151,29146,500,498,625,498,304,625.0,7192,ai
152,29283,500,498,625,498,137,625.0,7598,ai
153,29413,500,498,625,498,130,625.0,6774,ai
154,29715,500,498,625,498,302,625.0,7914,ai
155,29853,500,498,625,498,138,625.0,9209,ai
156,29982,500,498,625,498,129,625.0,8239,ai
157,30285,500,498,625,498,303,625.0,7608,ai
158,30429,500,498,625,498,144,625.0,8074,ai
159,30552,500,498,625,498,123,625.0,7627,ai
160,30854,500,498,625,498,302,625.0,7510,ai
161,31001,500,498,625,498,147,625.0,7542,ai
162,31113,500,498,625,498,112,625.0,7873,ai
163,31415,500,498,625,498,302,625.0,7364,ai
164,31556,500,498,625,498,141,625.0,7729,ai
165,31685,500,498,625,498,129,625.0,8285,ai
166,31989,500,498,625,498,304,625.0,7885,ai
167,32122,500,498,625,498,133,625.0,7555,ai
168,32252,500,498,625,498,130,625.0,7552,ai
169,32559,500,498,625,498,307,625.0,7503,ai
170,32692,500,498,625,498,133,625.0,8885,ai
171,32826,500,498,625,498,134,625.0,8172,ai
172,33145,500,498,625,498,319,625.0,7346,ai
173,33312,500,498,625,498,167,625.0,8310,ai
174,33422,500,498,625,498,110,625.0,7945,ai
175,33726,500,498,625,498,304,625.0,7551,ai
176,33871,500,498,625,498,145,625.0,6758,ai
177,33982,500,498,625,498,111,625.0,7483,ai
178,34289,500,498,625,498,307,625.0,7178,ai
179,34422,500,498,625,498,133,625.0,7978,ai
180,34552,500,498,625,498,130,625.0,7298,ai
181,34853,500,498,625,498,301,625.0,7323,ai
182,35001,500,498,625,498,148,625.0,8435,ai
