sample,elapsed_ms,target,state_before,control_value,state_after,rtt_ms,model_output,infer_us,mode
1,979,300,300,24,179,875,24.0,9564,ai
2,1128,300,179,236,180,149,236.0,6843,ai
3,1252,300,180,361,225,124,361.0,6791,ai
4,1380,300,225,381,258,128,381.0,7276,ai
5,1519,300,258,391,282,139,391.0,7468,ai
6,1653,300,282,378,291,134,378.0,6928,ai
7,1774,300,291,377,296,121,377.0,7172,ai
8,1914,300,296,379,300,140,379.0,7067,ai
9,2034,300,300,373,300,120,373.0,6653,ai
10,2181,300,300,374,300,147,374.0,7584,ai
11,2316,300,300,373,450,135,373.0,6921,ai
12,2455,300,450,0,404,139,0.0,7003,ai
13,2584,300,404,85,409,129,85.0,6693,ai
14,2715,300,409,0,381,131,0.0,7473,ai
15,2846,300,381,9,369,131,9.0,7181,ai
16,2976,300,369,0,359,130,0.0,6601,ai
17,3105,300,359,2,355,129,2.0,6513,ai
18,3234,300,355,2,352,129,2.0,7649,ai
19,3364,300,352,4,352,130,4.0,6749,ai
20,3494,300,352,4,352,130,4.0,7373,ai
21,3627,300,352,4,352,133,4.0,6827,ai
22,3752,300,352,4,352,125,4.0,7150,ai
23,3881,300,352,4,352,129,4.0,7990,ai
24,4013,300,352,4,352,132,4.0,7612,ai
25,4133,300,352,4,352,120,4.0,7771,ai
26,4273,300,352,4,352,140,4.0,7665,ai
27,4403,300,352,4,352,130,4.0,7666,ai
28,4533,300,352,4,352,130,4.0,7469,ai
29,4664,300,352,4,352,131,4.0,8065,ai
30,4794,300,352,4,352,130,4.0,6855,ai
31,4924,300,352,4,352,130,4.0,7692,ai
32,5053,300,352,4,352,129,4.0,9673,ai
33,5186,800,352,640,573,133,640.0,7706,ai
34,5323,800,573,645,694,137,645.0,8024,ai
35,5453,800,694,631,750,130,631.0,8070,ai
36,5583,800,750,677,793,130,677.0,8077,ai
37,5718,800,793,627,795,135,627.0,7946,ai
38,5845,800,795,649,804,127,649.0,7909,ai
39,5981,800,804,646,807,136,646.0,8113,ai
40,6116,800,807,647,808,135,647.0,9285,ai
41,6245,800,808,649,810,129,649.0,8228,ai
42,6375,800,810,648,811,130,648.0,8444,ai
43,6516,800,811,649,812,141,649.0,8288,ai
44,6646,800,812,648,811,130,648.0,8066,ai
45,6779,800,811,650,812,133,650.0,7860,ai
46,6917,800,812,649,811,138,649.0,7892,ai
47,7058,800,811,651,812,141,651.0,7164,ai
48,7196,800,812,650,812,138,650.0,7996,ai
49,7329,800,812,651,812,133,651.0,7796,ai
50,7457,800,812,651,812,128,651.0,8127,ai
51,7586,800,812,651,812,129,651.0,7307,ai
52,7717,800,812,652,812,131,652.0,7763,ai
53,7851,800,812,652,812,134,652.0,7481,ai
54,7987,800,812,652,812,136,652.0,9056,ai
55,8123,800,812,652,812,136,652.0,8296,ai
56,8254,800,812,653,813,131,653.0,7356,ai
57,8384,800,813,651,813,130,651.0,8011,ai
